Cases_CaseNumber,Products_ProductID,Products_Department,CaseTasks_Department
449961,DIGMODCADFIX,C&B,Stain & Glaze
449739,DESSDRVR,,REMQC
449739,DENZIADSTE,CHAIRSIDE SERVICES,BUSOFF
449739,PHOTOZRBASE,CHAIRSIDE SERVICES,BUSOFF
449739,DENZIADSTE,CHAIRSIDE SERVICES,CHAIRSIDE SERVICES
449739,PHOTOZRBASE,CHAIRSIDE SERVICES,REMQC
449739,DENZIADSTE,CHAIRSIDE SERVICES,REMQC
449739,PHOTOZRBASE,CHAIRSIDE SERVICES,SCHEDULING
449739,DENZIADSTE,CHAIRSIDE SERVICES,SCHEDULING
449739,DESSDRVR,,BUSOFF
449739,DESSDRVR,,CHAIRSIDE SERVICES
449739,DESSDRVR,,SCHEDULING
449739,PHOTOZRBASE,CHAIRSIDE SERVICES,CHAIRSIDE SERVICES
450482,DENCLASP,Removables,BUSOFF
450482,DENCLASP,Removables,Removables
450482,DENCLASP,Removables,PRINTING
450482,DENCLASP,Removables,REMQC
450482,DIGFLIP1-5,PARTIAL,BUSOFF
450482,DIGFLIP1-5,PARTIAL,REMQC
450482,DIGFLIP1-5,PARTIAL,PRINTING
450482,DIGMODCADREM,Removables,BUSOFF
450482,DIGFLIP1-5,PARTIAL,Removables
450482,DIGMODCADREM,Removables,PRINTING
450482,DIGMODCADREM,Removables,Removables
450482,DIGMODCADREM,Removables,REMQC
450482,DTARTICA1,Removables,REMQC
450482,DTARTICA1,Removables,BUSOFF
450482,DTARTICA1,Removables,PRINTING
450482,DTARTICA1,Removables,Removables
450490,DIGBRUXCRN,C&B,BUSOFF
450490,DIGBRUXCRN,C&B,CAD DESIGN
450490,DIGBRUXCRN,C&B,C&B
450490,DIGBRUXCRN,C&B,FIXED QC
450490,DIGBRUXCRN,C&B,SCHEDULING
450490,DIGBRUXCRN,C&B,SINTER
450490,DIGBRUXCRN,C&B,STAINGLZ
450038,DIGBRUXCRN,C&B,CAD DESIGN
450038,DIGBRUXCRN,C&B,BUSOFF
450038,DIGBRUXCRN,C&B,SINTER
450038,DIGBRUXCRN,C&B,C&B
450038,DIGBRUXCRN,C&B,STAINGLZ
450038,DIGBRUXCRN,C&B,FIXED QC
450038,DIGBRUXCRN,C&B,SCHEDULING
450223,CRNBRUX,C&B,Brux Porcelain
450223,CRNBRUX,C&B,FIXED MODELS
450223,CRNBRUX,C&B,C&B
450223,CRNBRUX,C&B,Invoice and Ship
450223,CRNBRUX,C&B,CAD Mill crown/coping
450223,CRNBRUX,C&B,Outsource Design full contour
450223,CRNBRUX,C&B,Die Trim
450223,CRNBRUX,C&B,Stain & Glaze
450223,CRNBRUX,C&B,FIXED QC
450223,CRNBRUX,C&B,Scan for crowns
450223,CRNBRUX,C&B,SCHEDULING
450223,CRNBRUX,C&B,Sinter
450498,DIGBRUXCRN,C&B,BUSOFF
450498,DIGBRUXCRN,C&B,BUILD MODEL
450498,DIGBRUXCRN,C&B,C&B
450498,DIGBRUXCRN,C&B,CAD DESIGN
450498,DIGBRUXCRN,C&B,FIXED MODELS
450498,DIGBRUXCRN,C&B,FIXED QC
450498,DIGBRUXCRN,C&B,PRINT STUDY MODELS
450498,DIGBRUXCRN,C&B,SINTER
450498,DIGBRUXCRN,C&B,SCHEDULING
450498,DIGBRUXCRN,C&B,STAINGLZ
450498,DIGMODCADFIX,C&B,C&B
450498,DIGMODCADFIX,C&B,BUILD MODEL
450498,DIGMODCADFIX,C&B,FIXED QC
450498,DIGMODCADFIX,C&B,BUSOFF
450498,DIGMODCADFIX,C&B,SCHEDULING
450498,DIGMODCADFIX,C&B,CAD DESIGN
450498,DIGMODCADFIX,C&B,SINTER
450498,DIGMODCADFIX,C&B,FIXED MODELS
450498,DIGMODCADFIX,C&B,STAINGLZ
450498,DIGMODCADFIX,C&B,PRINT STUDY MODELS
450188,DIGLAYCRN,C&B,BUILD MODEL
450188,DIGLAYCRN,C&B,CAD DESIGN
450188,DIGLAYCRN,C&B,BUSOFF
450188,DIGLAYCRN,C&B,FIXED QC
450188,DIGLAYCRN,C&B,C&B
450188,DIGLAYCRN,C&B,SCHEDULING
450188,DIGLAYCRN,C&B,FIXED MODELS
450188,DIGLAYCRN,C&B,SINTER
450188,DIGLAYCRN,C&B,PRINT STUDY MODELS
450188,DIGLAYCRN,C&B,STAINGLZ
450188,DIGMODCADFIX,C&B,BUILD MODEL
450188,DIGMODCADFIX,C&B,BUSOFF
450188,DIGMODCADFIX,C&B,CAD DESIGN
450188,DIGMODCADFIX,C&B,C&B
450188,DIGMODCADFIX,C&B,FIXED MODELS
450188,DIGMODCADFIX,C&B,FIXED QC
450188,DIGMODCADFIX,C&B,PRINT STUDY MODELS
450188,DIGMODCADFIX,C&B,SCHEDULING
450188,DIGMODCADFIX,C&B,SINTER
450188,DIGMODCADFIX,C&B,STAINGLZ
450392,CRNBRUX,C&B,Brux Porcelain
450392,CRNBRUX,C&B,C&B
450392,CRNBRUX,C&B,CAD Mill crown/coping
450392,CRNBRUX,C&B,Die Trim
450392,CRNBRUX,C&B,FIXED MODELS
450392,CRNBRUX,C&B,FIXED QC
450392,CRNBRUX,C&B,Invoice and Ship
450392,CRNBRUX,C&B,Outsource Design full contour
450392,CRNBRUX,C&B,Scan for crowns
450392,CRNBRUX,C&B,Sinter
450392,CRNBRUX,C&B,SCHEDULING
450392,INFCONT,MISC,CAD Mill crown/coping
450392,CRNBRUX,C&B,Stain & Glaze
450392,INFCONT,MISC,Die Trim
450392,INFCONT,MISC,Brux Porcelain
450392,INFCONT,MISC,Outsource Design full contour
450392,INFCONT,MISC,C&B
450392,INFCONT,MISC,SCHEDULING
450392,INFCONT,MISC,FIXED MODELS
450392,INFCONT,MISC,FIXED QC
450392,INFCONT,MISC,Invoice and Ship
450392,INFCONT,MISC,Scan for crowns
450392,INFCONT,MISC,Sinter
450392,INFCONT,MISC,Stain & Glaze
450252,CRNZIRCBR,C&B,BUSOFF
450252,CRNZIRCBR,C&B,CAD DESIGN
450252,CRNZIRCBR,C&B,C&B
450252,CRNZIRCBR,C&B,Fixed QC
450252,CRNZIRCBR,C&B,FINISHING
450252,CRNZIRCBR,C&B,Impl Eval/Set TA
450252,CRNZIRCBR,C&B,FIXED MODELS
450252,CRNZIRCBR,C&B,STAINGLZ
450252,CRNZIRCBR,C&B,IMPLANTS
450252,DIGANALOG,IMPLANT PT,BUSOFF
450252,CRNZIRCBR,C&B,Scan Abutments
450252,DIGANALOG,IMPLANT PT,C&B
450252,CRNZIRCBR,C&B,SINTER
450252,DIGANALOG,IMPLANT PT,Fixed QC
450252,CRNZIRCBR,C&B,Tissue Trim
450252,DIGANALOG,IMPLANT PT,Impl Eval/Set TA
450252,DIGANALOG,IMPLANT PT,CAD DESIGN
450252,DIGANALOG,IMPLANT PT,IMPLANTS
450252,DIGANALOG,IMPLANT PT,FINISHING
450252,DIGANALOG,IMPLANT PT,SINTER
450252,DIGANALOG,IMPLANT PT,FIXED MODELS
